"gender","coronaVirus","postalCode","loneliness","diarrhea","userId","insomnia","limbPain","coughing","generalHealth","soreThroat","temperature","runnyNose","headache","id","numberOfContacts","timestamp","yearOfBirth",
"1", "1", "81472", "4", "2", "Titian", "3", "1", "3", "2", "2", "2", "1", "1", "167-23-6872", "60", "1584829782185", "1951", 
"1", "2", "18289", "4", "2", "Magritte", "4", "1", "1", "2", "2", "2", "2", "2", "848-96-5163", "25", "1584829536430", "1962", 
"2", "2", "91126", "2", "2", "Caravaggio", "2", "2", "2", "3", "1", "1", "2", "1", "898-23-8377", "259", "1584828906252", "2000", 
"2", "1", "53702", "2", "1", "Rothko", "4", "1", "2", "5", "2", "3", "1", "1", "402-60-6782", "602", "1584829442574", "2003", 
"2", "1", "89046", "3", "2", "Picasso", "4", "1", "3", "2", "2", "3", "2", "2", "619-69-5284", "353", "1584828901273", "1959", 
"2", "1", "55271", "5", "2", "Dali", "4", "2", "3", "1", "2", "3", "2", "3", "745-94-7132", "492", "1584829536520", "1968", 
"2", "2", "93150", "4", "2", "Rubens", "2", "2", "1", "2", "3", "2", "2", "2", "000-40-2109", "585", "1584829767085", "1989", 
"2", "1", "14165", "2", "2", "Gauguin", "4", "2", "1", "2", "1", "2", "3", "1", "300-15-8318", "798", "1584829453568", "1961", 
"2", "2", "19745", "4", "2", "Durer", "2", "3", "2", "1", "2", "2", "2", "2", "192-88-7238", "947", "1584828895896", "1988", 
"2", "2", "13256", "3", "2", "Caravaggio", "4", "2", "1", "3", "2", "1", "1", "3", "476-49-7702", "715", "1584828944798", "1978", 
"2", "3", "47076", "5", "1", "Da Vinci", "5", "1", "2", "2", "2", "2", "2", "2", "039-18-1207", "143", "1584828956052", "1990", 
"2", "2", "67716", "1", "2", "Cezanne", "4", "2", "2", "4", "2", "2", "2", "1", "644-80-2282", "761", "1584829963002", "1975", 
"3", "1", "86543", "2", "2", "Seurat", "4", "3", "2", "1", "1", "2", "2", "2", "270-31-3149", "13", "1584828944118", "1968", 
"1", "3", "85630", "5", "2", "Titian", "5", "2", "2", "3", "2", "1", "3", "2", "583-92-7086", "308", "1584829758301", "1970", 
"2", "2", "99168", "5", "2", "Rothko", "2", "3", "2", "2", "2", "3", "2", "2", "495-93-4243", "359", "1584828919486", "1992", 
"2", "2", "61429", "1", "2", "Gauguin", "1", "1", "2", "4", "2", "2", "3", "1", "067-12-5542", "179", "1584829088823", "1955", 
"2", "2", "68369", "2", "2", "Ansel Adams", "2", "2", "2", "2", "1", "2", "3", "1", "547-36-6123", "444", "1584828992923", "2004", 
"3", "3", "16610", "5", "1", "Klimt", "1", "3", "2", "1", "2", "2", "2", "1", "807-07-9729", "842", "1584830225220", "1956", 
"3", "3", "57075", "3", "2", "Bernini", "4", "2", "3", "5", "2", "2", "2", "1", "475-26-9777", "785", "1584829911485", "1976", 
"1", "1", "50627", "2", "1", "Cezanne", "2", "1", "1", "4", "2", "2", "2", "2", "006-91-2132", "871", "1584828952064", "1992", 
"2", "2", "37009", "5", "2", "Bernini", "2", "2", "2", "1", "2", "1", "3", "3", "547-35-8163", "381", "1584829889826", "1966", 
"2", "2", "16284", "2", "2", "Pissarro", "1", "2", "2", "4", "1", "2", "1", "3", "024-20-4853", "213", "1584830204275", "1962", 
"2", "3", "19934", "5", "1", "Joan Miro", "3", "2", "2", "3", "2", "1", "2", "2", "500-68-7485", "833", "1584829253616", "1996", 
"1", "3", "97917", "2", "2", "Donatello", "5", "2", "2", "3", "3", "2", "2", "1", "732-72-9783", "494", "1584829323317", "1980", 
"2", "2", "86706", "4", "2", "Kahlo", "4", "1", "3", "4", "1", "1", "2", "2", "586-66-1103", "436", "1584829975717", "1952", 
