"id (S)","timestamp (S)","coronaVirus (N)","coughing (N)","diarrhea (N)","gender (N)","generalHealth (N)","headache (N)","insomnia (N)","limbPain (N)","loneliness (N)","numberOfContacts (N)","postalCode (S)","runnyNose (N)","soreThroat (N)","temperature (N)","userId (S)","yearOfBirth (N)"
"002-81-8444","1584808212496","2","2","1","2","2","1","2","1","1","486","82278","3","2","2","Escher","2001"
"003-66-7460","1584808207788","3","1","1","1","5","2","5","2","4","39","31100","2","2","2","Pollock","1971"
"011-71-5874","1584808207109","1","2","2","1","4","2","4","2","4","129","65623","2","1","2","Seurat","1959"
"022-09-5822","1584808219209","3","2","1","2","2","2","5","3","5","208","76623","2","2","1","Rubens","1986"
"037-19-9715","1584808219473","2","2","2","2","3","2","3","2","2","888","51846","1","2","2","Titian","2000"
"037-65-3087","1584808215891","2","2","2","3","4","1","5","2","2","493","15787","2","1","2","Munch","1957"
"044-84-6959","1584808217823","2","1","2","1","3","1","5","1","5","448","94203","2","2","2","Klimt","1970"
"046-68-1426","1584808201461","2","1","2","2","2","1","2","2","1","266","11215","1","1","1","Pissarro","1956"
"058-15-8475","1584808227834","1","1","2","3","5","2","3","2","5","258","84009","2","3","2","Diego Rivera","1994"
"078-75-5417","1584808191187","2","2","2","1","2","2","1","2","2","857","72412","1","1","2","Winslow Homer","1996"
"079-82-4958","1584808224499","2","2","1","1","5","2","3","3","2","193","41404","1","2","2","Joan Miro","1974"
"106-20-7151","1584808197373","1","3","2","2","5","1","3","2","3","72","70179","2","2","2","Munch","1964"
"114-72-4342","1584808210815","2","1","2","3","3","1","5","2","3","819","83188","2","1","1","Munch","2003"
"114-76-2068","1584808194611","2","2","1","2","2","2","3","2","5","640","43214","2","2","3","Renoir","1978"
"120-56-8718","1584808217781","1","2","2","2","2","1","2","3","1","247","60585","2","2","2","Bernini","1968"
"125-26-9065","1584808195073","3","2","1","2","3","2","4","2","3","763","24947","2","2","2","Rubens","1958"
"159-42-2805","1584808226045","2","1","1","2","2","2","4","2","2","313","80939","2","2","1","Rothko","1961"
"179-25-7626","1584808196831","2","2","2","2","3","2","1","2","3","298","48937","2","2","2","Seurat","1973"
"180-39-2675","1584808222226","1","1","2","3","3","2","3","1","4","154","57827","3","1","1","Kandinsky","1955"
"183-61-5678","1584808190524","2","3","2","2","5","3","5","1","2","824","23948","2","3","1","Munch","1964"
"187-54-6427","1584808224664","2","2","1","2","3","3","2","1","5","535","20244","2","2","2","Chagall","1950"
"187-85-1357","1584808188840","1","2","2","3","5","2","1","1","1","225","19765","3","1","3","Cassatt","1965"
"192-31-3650","1584808219625","2","2","1","2","3","2","4","2","4","309","56854","2","2","3","El Greco","1963"
"196-98-7664","1584808227940","1","2","1","1","2","2","4","2","2","310","75891","2","2","2","Kandinsky","1983"
